cu_number,cycle_date,join_number,rssd,cu_type,cu_name,city,state,cdfi
24810,12/31/17 00:00,26424,3945737,1,1ST BERGEN,Hackensack,NJ,1
67505,12/31/17 00:00,21762,166595,2,1ST CHOICE,ATLANTA,GA,1
24774,12/31/17 00:00,18422,447294,1,1ST FINANCIAL,Wentzville,MO,1
68679,12/31/17 00:00,3508,631682,2,ADVANTAGE ONE,BROWNSTOWN,MI,1
61503,12/31/17 00:00,15839,986177,2,ADVIA,PARCHMENT,MI,1
60823,12/31/17 00:00,15227,253392,2,ALABAMA,TUSCALOOSA,AL,1
63789,12/31/17 00:00,18017,900892,2,ALLIANCE,FENTON,MO,1
62264,12/31/17 00:00,16541,212492,2,ALPENA COMMUNITY,ALPENA,MI,1
23283,12/31/17 00:00,13412,865384,1,ALTERNATIVES,ITHACA,NY,1
22119,12/31/17 00:00,12268,775081,1,AMERICAN PARTNERS,REIDSVILLE,NC,1
3212,12/31/17 00:00,1464,548276,1,ANECA,SHREVEPORT,LA,1
24495,12/31/17 00:00,23964,261294,1,APPALACHIAN COMMUNITY,Gray,TN,1
24843,12/31/17 00:00,15251,259693,1,ARBUCKLE,ADA,OK,1
67195,12/31/17 00:00,21416,4893,2,ARSENAL,Arnold,MO,1
63268,12/31/17 00:00,17509,555591,2,ASCENTRA,Bettendorf,IA,1
14692,12/31/17 00:00,7576,822882,1,ASI,HARAHAN,LA,1
62897,12/31/17 00:00,17148,702694,2,ASSEMBLIES OF GOD,Springfield,MO,1
60608,12/31/17 00:00,15033,585495,2,ASSOCIATED CREDIT UNION OF TEXAS,League City,TX,1
63630,12/31/17 00:00,17863,688190,2,ATCHISON VILLAGE,RICHMOND,CA,1
66819,12/31/17 00:00,21041,428798,2,ATHOL,ATHOL,MA,1
7465,12/31/17 00:00,3435,499480,1,AWAKON,ONAWAY,MI,1
12067,12/31/17 00:00,5997,280688,1,BAY,Capitola,CA,1
1607,12/31/17 00:00,784,479576,1,BIG ISLAND,Hilo,HI,1
24304,12/31/17 00:00,14430,573698,1,BORDER,DEL RIO,TX,1
66637,12/31/17 00:00,20859,562290,2,BREWERY,MILWAUKEE,WI,1
24642,12/31/17 00:00,26353,2979212,1,BROOKLYN COOPERATIVE,Brooklyn,NY,1
23495,12/31/17 00:00,13624,831688,1,BUFFALO COOPERATIVE,Buffalo,NY,1
17655,12/31/17 00:00,9302,517580,1,C O,CHARLESTON,SC,1
2237,12/31/17 00:00,1058,176473,1,CALCOE,YAKIMA,WA,1
16813,12/31/17 00:00,8818,308283,1,CAPROCK,LAMESA,TX,1
13476,12/31/17 00:00,6810,839189,1,CAROLINA FOOTHILLS,SPARTANBURG,SC,1
9164,12/31/17 00:00,4332,343088,1,CARTER,SPRINGHILL,LA,1
61908,12/31/17 00:00,16211,785099,2,CASE,LANSING,MI,1
6733,12/31/17 00:00,3039,1000089,1,CENCAP,HARTFORD,CT,1
8905,12/31/17 00:00,4186,303381,1,CENTRAL SUNBELT,Laurel,MS,1
1982,12/31/17 00:00,945,283876,1,CENTRIC,WEST MONROE,LA,1
13966,12/31/17 00:00,7137,386384,1,CHADRON,CHADRON,NE,1
65932,12/31/17 00:00,20155,298393,2,CHICAGO MUNICIPAL EMPLOYEES,Chicago,IL,1
22314,12/31/17 00:00,12454,537887,1,CHOCTAW,CHOCTAW,MS,1
67128,12/31/17 00:00,21349,527598,2,CITY CENTER,PROVO,UT,1
5549,12/31/17 00:00,2409,749073,1,CLINCHFIELD,Erwin,TN,1
16672,12/31/17 00:00,8741,646387,1,COBBLESTONE COUNTRY,ALBION,NY,1
11996,12/31/17 00:00,5954,60684,1,COLQUITT COUNTY TEACHER,Moultrie,GA,1
21873,12/31/17 00:00,12037,239480,1,COMMODORE PERRY,OAK HARBOR,OH,1
60816,12/31/17 00:00,15221,248295,2,COMMUNITY,ROCKLEDGE,FL,1
68510,12/31/17 00:00,737,512875,2,COMMUNITY 1ST,OTTUMWA,IA,1
65388,12/31/17 00:00,19616,499994,2,COMMUNITY C.U. OF SO. HUMBOLDT,GARBERVILLE,CA,1
63389,12/31/17 00:00,17627,213293,2,COMMUNITY FINANCIAL,SPRINGFIELD,MO,1
15051,12/31/17 00:00,7779,875383,1,COMMUNITY FIRST GUAM,Hagatna,GU,1
24751,12/31/17 00:00,15907,1016099,1,COMMUNITY PLUS,Rantoul,IL,1
24848,12/31/17 00:00,26440,4455176,1,COMMUNITY PROMISE,KALAMAZOO,MI,1
67434,12/31/17 00:00,22576,358091,2,COMMUNITY SOUTH,CHIPLEY,FL,1
24856,12/31/17 00:00,26446,4675415,1,COMMUNITYWORKS,GREENVILLE,SC,1
4900,12/31/17 00:00,2121,684277,1,COOPERATIVE CENTER,BERKELEY,CA,1
67371,12/31/17 00:00,21713,117195,2,CORE,STATESBORO,GA,1
66848,12/31/17 00:00,21070,989794,2,COVANTAGE,Antigo,WI,1
62562,12/31/17 00:00,16821,443193,2,CREDIT UNION ONE,Ferndale,MI,1
63411,12/31/17 00:00,17649,633994,2,CU COMMUNITY,SPRINGFIELD,MO,1
8317,12/31/17 00:00,3891,466987,1,CUTTING EDGE,MILWAUKIE,OR,1
16411,12/31/17 00:00,8592,793487,1,DC,Washington,DC,1
1407,12/31/17 00:00,694,499275,1,DEMOCRACY,ALEXANDRIA,VA,1
17311,12/31/17 00:00,9097,553083,1,DEMOPOLIS,DEMOPOLIS,AL,1
9821,12/31/17 00:00,4717,918187,1,DESERT COMMUNITIES,NEEDLES,CA,1
13762,12/31/17 00:00,7004,429786,1,DIAMOND LAKES,MALVERN,AR,1
21204,12/31/17 00:00,11460,831389,1,DRESSER ALEXANDRIA,Tioga,LA,1
64049,12/31/17 00:00,18277,305693,2,DUPACO COMMUNITY,Dubuque,IA,1
62474,12/31/17 00:00,16740,678098,2,DUPONT COMMUNITY,WAYNESBORO,VA,1
464,12/31/17 00:00,246,116778,1,EAGLE ONE,Claymont,DE,1
24483,12/31/17 00:00,25797,2270263,1,EAST END FOOD COOPERATIVE,PITTSBURGH,PA,1
11353,12/31/17 00:00,5585,567987,1,EAST RIVER,Madison,SD,1
61797,12/31/17 00:00,16107,697594,2,ELGA,BURTON,MI,1
3025,12/31/17 00:00,1389,793076,1,EMPOWER,SYRACUSE,NY,1
22032,12/31/17 00:00,12188,805689,1,ENTERTAINMENT INDUSTRIES,ELIZABETH,NJ,1
67329,12/31/17 00:00,22529,293295,2,ENVISION,TALLAHASSEE,FL,1
24506,12/31/17 00:00,26128,2242653,1,EPISCOPAL COMMUNITY,Los Angeles,CA,1
62649,12/31/17 00:00,16907,982795,2,EQUISHARE,WICHITA,KS,1
20972,12/31/17 00:00,11283,693989,1,ESSENTIAL,Plaquemine,LA,1
9370,12/31/17 00:00,4449,41580,1,EVERYONE'S,Tucumcari,NM,1
68273,12/31/17 00:00,22232,111894,2,EXPRESS,Seattle,WA,1
68417,12/31/17 00:00,2636,414371,2,FAIRWINDS,ORLANDO,FL,1
96706,12/31/17 00:00,25260,407494,3,FAITH COMMUNITY UNITED,CLEVELAND,OH,1
18515,12/31/17 00:00,9752,742681,1,FERGUSON,Monticello,MS,1
11380,12/31/17 00:00,5599,970185,1,FIDELIS,NEW YORK,NY,1
64412,12/31/17 00:00,18640,475792,2,FIRST AMERICAN,Casa Grande,AZ,1
68244,12/31/17 00:00,1131,1014974,2,FIRST FINANCIAL,Albuquerque,NM,1
68356,12/31/17 00:00,2136,222875,2,FIRST IMPERIAL,EL CENTRO,CA,1
20707,12/31/17 00:00,11100,735786,1,FIRST RELIANCE,ATHENS,GA,1
24859,12/31/17 00:00,26448,NA,1,FIRST UNITY,McComb,MS,1
10174,12/31/17 00:00,4916,166081,1,FIRSTLIGHT,El Paso,TX,1
68302,12/31/17 00:00,8580,691583,2,FIVE STAR,Dothan,AL,1
60497,12/31/17 00:00,14933,577799,2,FLORIDA,Gainesville,FL,1
187,12/31/17 00:00,100,908179,1,FLORIDA A & M UNIVERSITY,TALLAHASSEE,FL,1
67874,12/31/17 00:00,22533,887199,2,FLORIDA STATE UNIVERSITY,TALLAHASSEE,FL,1
61755,12/31/17 00:00,16068,100393,2,FRANKENMUTH,FRANKENMUTH,MI,1
11111,12/31/17 00:00,5443,596286,1,FREEDOM FIRST,Roanoke,VA,1
60058,12/31/17 00:00,14537,364690,2,GECU,El Paso,TX,1
23848,12/31/17 00:00,13977,859299,1,GENESEE CO-OP,ROCHESTER,NY,1
24693,12/31/17 00:00,16634,656694,1,GOLDENWEST,Ogden,UT,1
538,12/31/17 00:00,282,931971,1,GOVERNMENT PRINTING OFFICE,Washington,DC,1
64034,12/31/17 00:00,18262,167190,2,GREATER KINSTON,KINSTON,NC,1
24560,12/31/17 00:00,19820,263092,1,GREYLOCK,PITTSFIELD,MA,1
196,12/31/17 00:00,105,84073,1,GTE,TAMPA,FL,1
66149,12/31/17 00:00,20372,736194,2,GUADALUPE,Santa Fe,NM,1
4531,12/31/17 00:00,1991,715377,1,GUADALUPE CENTERS,KANSAS CITY,MO,1
67521,12/31/17 00:00,22521,307697,2,GUARDIANS,WEST PALM BEACH,FL,1
242,12/31/17 00:00,129,25571,1,GULF COAST COMMUNITY,GULFPORT,MS,1
23760,12/31/17 00:00,13889,841799,1,HALIFAX COUNTY COMMUNITY,South Boston,VA,1
66399,12/31/17 00:00,20621,8695,2,HARBORSTONE,TACOMA,WA,1
2403,12/31/17 00:00,1123,736671,1,HAWAII,Honolulu,HI,1
24839,12/31/17 00:00,17983,710390,1,HAWAII CENTRAL,Honolulu,HI,1
10938,12/31/17 00:00,5352,779182,1,HAWAII FIRST,Kamuela,HI,1
22811,12/31/17 00:00,12940,290285,1,HEALTH FACILITIES,FLORENCE,SC,1
20354,12/31/17 00:00,10848,877387,1,HILL DISTRICT,Pittsburgh,PA,1
64690,12/31/17 00:00,18918,737191,2,HOLY ROSARY,Kansas City,MO,1
24829,12/31/17 00:00,26221,2342816,1,HOPE,JACKSON,MS,1
20824,12/31/17 00:00,11175,681687,1,HOPESOUTH,Abbeville,SC,1
63844,12/31/17 00:00,18072,834791,2,HORIZON,MACON,MO,1
68138,12/31/17 00:00,23981,400299,2,HORIZON,Kingsport,TN,1
24570,12/31/17 00:00,22890,869195,1,HOUSTON METROPOLITAN,Houston,TX,1
60337,12/31/17 00:00,14790,131892,2,I. H. MISSISSIPPI VALLEY,Moline,IL,1
66337,12/31/17 00:00,20559,122591,2,INDUSTRIAL CU OF WHATCOM COUNTY,BELLINGHAM,WA,1
7783,12/31/17 00:00,3612,144388,1,INNOVATIONS,PANAMA CITY,FL,1
15673,12/31/17 00:00,8150,349987,1,ISRAEL METHCOMM,CHICAGO,IL,1
24871,12/31/17 00:00,15149,529994,1,JEFFERSON FINANCIAL,METAIRIE,LA,1
24718,12/31/17 00:00,13407,549787,1,JETSTREAM,MIAMI LAKES,FL,1
1558,12/31/17 00:00,761,412676,1,KERR COUNTY,Kerrville,TX,1
4142,12/31/17 00:00,1849,277473,1,KINECTA,MANHATTAN BEACH,CA,1
11330,12/31/17 00:00,5572,443988,1,KOOTENAI VALLEY,Libby,MT,1
9643,12/31/17 00:00,4620,905383,1,LAFAYETTE SCHOOLS',LAFAYETTE,LA,1
62047,12/31/17 00:00,16345,794091,2,LAKE TRUST,BRIGHTON,MI,1
24847,12/31/17 00:00,26438,4452960,1,LAKOTA,Kyle,SD,1
97102,12/31/17 00:00,10341,360683,3,LATAH,MOSCOW,ID,1
68430,12/31/17 00:00,26348,2915845,2,LATINO COMMUNITY,DURHAM,NC,1
6584,12/31/17 00:00,2950,742186,1,LES,BATON ROUGE,LA,1
68386,12/31/17 00:00,1393,729075,2,LEWIS CLARK,Lewiston,ID,1
68268,12/31/17 00:00,22303,135395,2,LIGHTHOUSE COMMUNITY,VANCOUVER,WA,1
24003,12/31/17 00:00,14131,815398,1,LOCAL GOVERNMENT,Raleigh,NC,1
174,12/31/17 00:00,91,903473,1,LOUISIANA,Laplace,LA,1
24232,12/31/17 00:00,14359,176295,1,LOWER EAST SIDE PEOPLE'S,NEW YORK,NY,1
68304,12/31/17 00:00,22236,18890,2,LOWER VALLEY,Sunnyside,WA,1
8080,12/31/17 00:00,3777,551883,1,MAC,Fairbanks,AK,1
68344,12/31/17 00:00,3142,521680,2,MAGNIFY,MULBERRY,FL,1
224,12/31/17 00:00,119,22972,1,MAGNOLIA,Jackson,MS,1
12238,12/31/17 00:00,6094,597087,1,MANATEE COMMUNITY,BRADENTON,FL,1
9469,12/31/17 00:00,4514,17987,1,MARISOL,Phoenix,AZ,1
64084,12/31/17 00:00,18312,371791,2,MAZUMA,OVERLAND PARK,MO,1
11030,12/31/17 00:00,5394,628981,1,MCCONE COUNTY,CIRCLE,MT,1
63368,12/31/17 00:00,17607,628495,2,"MEMBERS ""FIRST"" COMMUNITY",QUINCY,IL,1
