"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2017 0:00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,1000.00,0.00,1000.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00
5,12/31/2017 0:00:00,6,0.00,0.00,0.00,0.00,0.00,0.00,285141.00,285141.00,0.00,0.00,0.00,0.00,1275926.00,0.00,1275926.00,0.00,0.00,0.00,81614.00,0.00,81614.00,0.00,0.00,0.00,312778.00,312778.00,0.00,189115.00,0.00,189115.00,0.00,0.00,0.00,2425143.00,2425143.00,0.00,674961.00,0.00,674961.00,6.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,4.00,6.00,4.00,0.00,0.00,2.00,4.00,10.00,99.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,130.00
6,12/31/2017 0:00:00,7,0.00,0.00,0.00,0.00,0.00,0.00,1244522.00,1244522.00,0.00,0.00,0.00,0.00,20587089.00,0.00,20587089.00,0.00,0.00,0.00,281250.00,0.00,281250.00,0.00,0.00,0.00,1330624.00,1081533.00,249091.00,23162.00,0.00,23162.00,3553950.00,0.00,3553950.00,25460197.00,25460197.00,0.00,51474.00,0.00,51474.00,8.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,4.00,4.00,1.00,0.00,0.00,6.00,10.00,199.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,518.00
12,12/31/2017 0:00:00,11,0.00,0.00,0.00,0.00,0.00,0.00,329568.00,329568.00,0.00,0.00,0.00,0.00,2865716.00,0.00,2865716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364996.00,0.00,364996.00,159046.00,0.00,159046.00,3747436.00,3747436.00,0.00,28110.00,0.00,28110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,12/31/2017 0:00:00,12,0.00,0.00,0.00,0.00,0.00,0.00,13755594.00,13755594.00,0.00,2373123.00,2373123.00,0.00,38180413.00,0.00,38180413.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,11194454.00,0.00,11194454.00,65783827.00,65783827.00,0.00,280243.00,0.00,280243.00,4.00,4.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,0.00,3.00,4.00,7.00,1.00,0.00,0.00,0.00,1.00,8.00,767.00,419.00,0.00,0.00,0.00,0.00,0.00,0.00,1136.00
16,12/31/2017 0:00:00,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337616.00,0.00,337616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40861.00,0.00,40861.00,0.00,0.00,0.00,378477.00,378477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00
19,12/31/2017 0:00:00,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
22,12/31/2017 0:00:00,17,0.00,0.00,0.00,0.00,0.00,0.00,26709225.00,26709225.00,0.00,0.00,0.00,0.00,36310403.00,0.00,36310403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,357423.00,0.00,357423.00,39231.00,0.00,39231.00,63460221.00,63460221.00,0.00,43939.00,0.00,43939.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,1597.00,0.00,0.00,0.00,0.00,0.00,0.00,159.00
26,12/31/2017 0:00:00,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502416.00,0.00,502416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502416.00,502416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00
28,12/31/2017 0:00:00,21,0.00,0.00,0.00,0.00,0.00,0.00,21974855.00,21974855.00,0.00,0.00,0.00,0.00,42410312.00,0.00,42410312.00,0.00,0.00,0.00,156430.00,0.00,156430.00,0.00,0.00,0.00,419486.00,419486.00,0.00,10439656.00,0.00,10439656.00,547894.00,0.00,547894.00,95953726.00,95953726.00,0.00,20581009.00,0.00,20581009.00,208.00,3.00,11.00,21.00,0.00,0.00,0.00,2.00,49.00,0.00,59.00,3.00,62.00,117.00,0.00,10.00,1.00,206.00,211.00,2088.00,1890.00,0.00,0.00,0.00,0.00,0.00,0.00,3021.00
