cu_name,address1,city,state,zipcode,new_name,cu_name
1ST BERGEN FEDERAL CREDIT UNION,241 Moore Street,Hackensack,New Jersey,7601,,1ST BERGEN FEDERAL CREDIT UNION
1ST CHOICE CREDIT UNION,315 Auburn Avenue NE,Atlanta,Georgia,30303,,1ST CHOICE CREDIT UNION
1ST FINANCIAL FEDERAL CREDIT UNION,1232 Wentzville Parkway,Wentzville,Missouri,63385,,1ST FINANCIAL FEDERAL CREDIT UNION
ADVANTAGE ONE CREDIT UNION,23670 Telegraph Rd,Brownstown,Michigan,48134,,ADVANTAGE ONE CREDIT UNION
ADVIA CREDIT UNION,550 S Riverview Dr,Parchment,Michigan,49004,,ADVIA CREDIT UNION
ALABAMA CREDIT UNION,909 Anna Ave,Tuscaloosa,Alabama,35401,,ALABAMA CREDIT UNION
ALLIANCE CREDIT UNION,1280 S Highway Dr,Fenton,Missouri,63026,,ALLIANCE CREDIT UNION
ALPENA COMMUNITY CREDIT UNION,710 West Miller Street,Alpena,Michigan,49707,,ALPENA COMMUNITY CREDIT UNION
ALTERNATIVES FEDERAL CREDIT UNION,125 North Fulton Street,Ithaca,New York,14850,,ALTERNATIVES FEDERAL CREDIT UNION
AMERICAN PARTNERS FEDERAL CREDIT UNION,PO Box 1198,Reidsville,North Carolina,27323,,AMERICAN PARTNERS FEDERAL CREDIT UNION
ANECA FEDERAL CREDIT UNION,4361 Youree Dr.,Shreveport,Louisiana,71105,,ANECA FEDERAL CREDIT UNION
APPALACHIAN COMMUNITY FCU,5034 Bobby Hicks Hwy Suite 2,Gray,Tennessee,37615,,APPALACHIAN COMMUNITY FCU
ARBUCKLE FEDERAL CREDIT UNION,317 S. Broadway,Ada,Oklahoma,74820,,ARBUCKLE FEDERAL CREDIT UNION
ARSENAL CREDIT UNION,3780 Vogel Road,Arnold,Missouri,63010,,ARSENAL CREDIT UNION
ASCENTRA CREDIT UNION,PO BOX 1107,Bettendorf,Iowa,52772,,ASCENTRA CREDIT UNION
ASI FEDERAL CREDIT UNION,5508 Citrus Boulevard,Harahan,Louisiana,70123,,ASI FEDERAL CREDIT UNION
ASSEMBLIES OF GOD CREDIT UNION,1535 North Campbell Avenue,Springfield,Missouri,65803,,ASSEMBLIES OF GOD CREDIT UNION
ASSOCIATED CREDIT UNION OF TEXAS,P.O. Box 9004,League City,Texas,77574,,ASSOCIATED CREDIT UNION OF TEXAS
ATCHISON VILLAGE CREDIT UNION,270 A Curry,Richmond,California,94801,,ATCHISON VILLAGE CREDIT UNION
ATHOL CREDIT UNION,513 Main St.  P.O. Box 389,Athol,Massachusetts,1331,,ATHOL CREDIT UNION
AWAKON FEDERAL CREDIT UNION,20855 Washington Ave PO Box 420,Onaway,Michigan,49765,,AWAKON FEDERAL CREDIT UNION
BAY FEDERAL CREDIT UNION,3333 Clares Street,Capitola,California,95010,,BAY FEDERAL CREDIT UNION
BIG ISLAND FEDERAL CREDIT UNION,66 LONO STREET,HILO,Hawaii,96720,,BIG ISLAND FEDERAL CREDIT UNION
