CU_NUMBER,SiteId,CU_NAME,addr_new,PhysicalAddressLine1,PhysicalAddressLine2,PhysicalAddressCity,PhysicalAddressStateCode,PhysicalAddressPostalCode,PhysicalAddressCountyName,PhysicalAddressCountry,MailingAddressLine1,MailingAddressLine2,MailingAddressCity,MailingAddressStateCode,MailingAddressStateName,MailingAddressPostalCode
151,36355,JUSTICE,"2500 Investigation Pkwy, Quantico, VA 22134",2500 Investigation Pkwy Ste O-G03,NA,Quantico,VA,22134-5173,Prince William,United States,NA,NA,NA,NA,NA,NA
177,40180,PEOPLE'S TRUST,"3333 S Texas 6, Houston, TX 77082",3333 Highway 6 S Ste EC-101,NA,Houston,TX,77082,Harris,United States,3333 Highway 6 S Ste EC-101,NA,Houston,TX,Texas,77082
227,53291,PENTAGON,"1204 Stony Lonesome Rd, West Point, NY 10996",1204 Stony Lonesome Access Rd,NA,West Point,NY,10996-1882,Orange,United States,1204 Stony Lonesome Access Rd,NA,West Point,NY,New York,10996-1882
1022,17291,SOUTH CAROLINA,"1001 Jefferson Ave Exn, Goose Creek, SC 29445",1001 Jefferson Avenue Ext,NA,Goose Creek,SC,29445-6049,Berkeley,United States,PO Box 190012,Attn: Naval Weapons Station,North Charleston,SC,South Carolina,29419-9012
1622,42482,FME,"3610 W Main St, Sedalia, MO 65301",c/o hayes lemmerz,3610 W Main St,Sedalia,MO,65301-2101,Pettis,United States,c/o hayes lemmerz,3610 w main street,sedalia,MO,Missouri,65301
1718,28676,HAWAII STATE,"425 Koloa St, Kahului, HI 96732",Triangle Square,425 Koloa St Ste 101B,Kahului,HI,96732,Maui,United States,Triangle Square,"425 Koloa Street, #101B",Kahului,HI,Hawaii,96732
1870,51921,HAWAII LAW ENFORCEMENT,"889 Kamokila Blvd, Kapolei, HI 96707",Crossroads at Kapolei,889 Kamokila Blvd Ste 202,Kapolei,HI,96707,Honolulu,United States,1537 Young St Fl 3,NA,Honolulu,HI,Hawaii,96826
1904,37208,UNIVERSITY,"2901 University Ave, Grand Forks, ND 58202",2901 University Ave MS 8222,Memorial Union Rm 2 Lower Level,Grand Forks,ND,58202,Grand Forks,United States,2901 University Ave MS 8222,Memorial Union Rm 2 Lower Level,Grand Forks,ND,North Dakota,58202
2107,25752,RUTHERFORD POSTAL DISTRICT EM,"156 Park Avenue, Rutherford, NJ 07070",PO Box 196,NA,Lakewood,NJ,8701,Ocean,United States,PO BOX 196,NA,Lakewood,NJ,New Jersey,8701
2285,50552,ADVANCIAL,"900 E Benson Blvd, Anchorage, AK 99508",900 E Benson Blvd Ste LR-101,NA,Anchorage,AK,99508,Anchorage,United States,900 E Benson Blvd Ste LR-101,NA,Anchorage,AK,Alaska,99508
2348,25435,GAF LINDEN EMPLOYEES,"1 Campus Dr, Parsippany, NJ 07054",4000 Road To Grasseli Rd,NA,Linden,NJ,07036-3572,Union,United States,4000 Road To Grasselli,NA,Linden,NJ,New Jersey,7036
2507,35251,OMAHA PUBLIC POWER DIST EMP,"444 S 16th St, Omaha, NE 68102",E/AR/EP 5,444 S 16th St,Omaha,NE,68102,Douglas,United States,E/AR/EP 5,444 S 16th St,Omaha,NE,Nebraska,68102
3830,41469,MASS. INSTITUTE OF TECH.,"244 Wood St, Lexington, MA 02421",244 Wood St # LINA-100,NA,Lexington,MA,02421-6426,Middlesex,United States,244 Wood St # LINA-100,NA,Lexington,MA,Massachusetts,02421-6426
3962,16881,HUDSON HERITAGE,"1 Hawk Dr, New Paltz, NY 12561",1 Hawk Dr Bldg SUNY-Adminstration,Lower level of Haggerty,New Paltz,NY,12561-2447,Ulster,United States,25 Rykowski Lane,NA,Middletown,NY,New York,10941
4365,43631,BLACK HILLS,"US-212 & Willow St, Eagle Butte, SD 57625",PO Box 620,Highway 212 and Willow,Eagle Butte,SD,57625-0620,Dewey,United States,PO Box 620,NA,Eagle Butte,SD,South Dakota,57625-0620
5029,51533,RED RIVER EMPLOYEES,"125 Webster Drive, Ashdown, AR 71822",125 Dutch Webster Dr,NA,Ashdown,AR,71822,Little River,United States,PO Box 5909,NA,Texarkana,TX,Texas,75505
5168,45447,AMARILLO COMMUNITY,"5000 FM1912, Amarillo, TX 79108",9396 E FM 1912 Even Range 9300,NA,Amarillo,TX,79108-7552,Potter,United States,PO BOX 2026,NA,Amarillo,TX,Texas,79105
5272,39364,NORTHERN LIGHTS COMMUNITY,"M-94, Chatham, MI 49816",PO Box 126,NA,Chatham,MI,49816,Alger,United States,P.O. Box 126,NA,Chatham,MI,Michigan,49816
5621,24542,AMERICAN HERITAGE,"43 Summit Square Shopping Center, Langhorne, PA 19047",43 Summit Square Ctr,Routes 413 and 332,Langhorne,PA,19047-1007,Bucks,United States,43 Summit Square Center,Routes 413 and 332,Langhorne,PA,Pennsylvania,19047
6011,50390,SIDNEY,"70 W Front St, Hancock, NY 13783",70 W Front Street Ext,NA,Hancock,NY,13783-1016,Delaware,United States,70 W Front Street Ext,NA,Hancock,NY,New York,13783-1016
6275,35746,ALTANA,"821 Hauser Ave S, Red Lodge, MT 59068",General Delivery,NA,Red Lodge,MT,59068,Carbon,United States,PO Box 1188,NA,Red Lodge,MT,Montana,59068
6275,35760,ALTANA,"912 E Pike Ave, Columbus, MT 59019",General Delivery,NA,Columbus,MT,59019,Stillwater,United States,PO Box 143,NA,Columbus,MT,Montana,59019
6472,40416,YOAKUM COUNTY,"810 11th St, Plains, TX 79355",PO BOX 395,NA,PLAINS,TX,79355,Yoakum,United States,PO BOX 395,NA,PLAINS,TX,Texas,79355
7423,42060,SCHOFIELD,"331 Brannon Rd Bldg 699, Schofield Barracks, HI 96857",PO Box 860669,NA,Wahiawa,HI,96786-0669,Honolulu,United States,PO BOX 860669,NA,WAHIAWA,HI,Hawaii,96786
7482,44834,TRANSTAR,"2800 Post Oak Blvd, Houston, TX 77056",2800 Post Oak Blvd Level 20,NA,Houston,TX,77056-6100,Harris,United States,"2800 Post Oak Blvd., Level 20",NA,Houston,TX,Texas,77056-6100
7641,53239,OZARK,"1616 W Business Hwy 60, Dexter, MO 63841",1616 W Business US Highway 60,NA,Dexter,MO,63841-2837,Stoddard,United States,1616 W Business US Highway 60,NA,Dexter,MO,Missouri,63841-2837
7958,28993,LAKEHURST NAVAL,"60 Lansdowne Rd, Lakehurst, NJ 08733",60 Lansdowne Rd,NA,Joint Base MDL,NJ,08733-5021,Ocean,United States,60 Lansdowne Rd,NA,Lakehurst NAEC,NJ,New Jersey,08733-5021
8290,50157,THE PEOPLE'S,"US Highway 60 & FM2373, Panhandle, TX 79068",FM 2373 US Hwy 60,NA,Amarillo,TX,79120,Potter,United States,PO Box 9335,NA,Amarillo,TX,Texas,79105
8333,37195,TOWER,"9800 Savage Rd, Fort Meade, MD 20755",9800 Savage Rd Ops 2,NA,Fort George G Meade,MD,20755-5999,Anne Arundel,United States,PO Box 123,NA,Annapolis Junction,MD,Maryland,20701-0123
8333,37183,TOWER,"4409 Llewellyn Ave, Fort Meade, MD 20755",9824 Herczog Rd,NA,Ft Meade,MD,20755,Anne Arundel,United States,PO Box 123,NA,Annapolis Junction,MD,Maryland,20701-0123
8475,35829,OTERO,"9840 Obrien Rd, Fort Meade, MD 20755",PO BOX 1058,Bldg 786,Holloman AFB,NM,88330,Otero,United States,P O Drawer 2800,NA,Alamogordo,NM,New Mexico,88311
9296,50027,SUN COMMUNITY,"1080 S Brawley Ave, Brawley, CA 92227",1080 S Brawley Ave US Highway 86,NA,Brawley,CA,92227-2350,Imperial,United States,1080 S Brawley Ave US Highway 86,NA,Brawley,CA,California,92227-2350
10465,52505,UNIVERSITY OF HAWAII,"2465 Campus Rd, Honolulu, HI 96822",2465 Campus Rd # CC206,NA,Honolulu,HI,96822,Honolulu,United States,PO Box 22070,NA,Honolulu,HI,Hawaii,96823
11300,25048,MISSOULA,"University Ctr Fl 1, Missoula, MT 59812",First Level University Ctr,NA,Missoula,MT,59812-0001,Missoula,United States,3600 Brooks,NA,Missoula,MT,Montana,59801
11374,46405,C-B-W SCHOOLS,"460 Locust St, Sidman, PA 15955",PO Box 400,460 Locust Street,Sidman,PA,15955-0400,Cambria,United States,PO Box 400,460 Locust Street,Sidman,PA,Pennsylvania,15955-0400
11526,42460,DAKOTA PLAINS,120 Main St BISON SD 57620-0220,PO Box 220,120 Main St,BISON,SD,57620-0220,Perkins,United States,PO Box 220,NA,BISON,SD,South Dakota,57620-0220
11526,42449,DAKOTA PLAINS,107 Main FAITH SD 57626-0549,PO Box 549,107 Main,FAITH,SD,57626-0549,Perkins,United States,PO Box 549,NA,FAITH,SD,South Dakota,57626-0549
12679,24039,ABCO,"81 Pemberton Browns Mills Rd, Browns Mills, NJ 08015",81 Pemberton Browns Mill Rd,NA,Browns Mills,NJ,08015-3108,Burlington,United States,P.O. Box 247,NA,Rancocas,NJ,New Jersey,8073
13169,46611,DEFENSE LOGISTICS,"213 NJ-15, Wharton, NJ 07885",Ardec Building 93,NA,Picatinny Ars,NJ,07806-5001,Morris,United States,93 ARDEC BLDING,100 PICATINNY ARSENAL,PICATINNY ARSENAL,NJ,New Jersey,07806-5300
13345,22741,FIRST PEOPLES COMMUNITY,"3143 Frankfort Hwy, Ridgeley, WV 26753",3116 Frankfort Hwy,NA,Ridgeley,WV,26753-8707,Mineral,United States,PO Box 1377,NA,Cumberland,MD,Maryland,21501
13491,53272,NMA,"18503 Dunne Ave, Parksley, VA 23421",PO Box 1422,NA,Parksley,VA,23421,Accomack,United States,4920 Haygood Rd,NA,Virginia Beach,VA,Virginia,23455
15021,50998,MORTON LANE,"520 Lee Road Buffalo, NY 14228",UB COMMONS RM 108,NA,Amherst,NY,14260,Erie,United States,NA,NA,NA,NA,NA,NA
15523,52996,TONGASS,215 Front Street Wrangell AK 99929,215 Front Street Kadin Building,NA,Wrangell,AK,99929,Wrangell,United States,PO Box 1200,NA,Wrangell,AK,Alaska,99929
15768,38906,CLASSIC,"39 Oak Street, Amelia, OH 45102-0488",PO Box 488,39 Oak Street,Amelia,OH,45102-0488,Clermont,United States,PO Box 488,NA,Amelia,OH,Ohio,45102
15768,39091,CLASSIC,"623 W Main St, Mt Orab, OH 45154",PO Box 550,623 W Main St,Mount Orab,OH,45154,Brown,United States,PO Box 550,NA,Mount Orab,OH,Ohio,45154
15788,42838,COMMON CENTS,"120 East Leblanc Street, Winnie, TX 77665",120 E LeBlanc St,NA,Winnie,TX,77665-7448,Chambers,United States,120 E LeBlanc,NA,Winnie,TX,Texas,77665
15802,51407,HUDSON VALLEY,"101 Tillson Ave, Highland, NY 12528",101 Tillson Avenue Ext,NA,Highland,NY,12528-1828,Ulster,United States,P.O. Box 1071,NA,Poughkeepsie,NY,New York,12602-1071
15860,16188,ELECTCHESTER,"161-10 Jewel Ave, Fresh Meadows, NY 11365",16110 Jewel Ave # TB,NA,Flushing,NY,11365-4357,Queens,United States,16110 Jewel Ave # TB,NA,Flushing,NY,New York,11365-4357
16770,31191,MUW EMPLOYEES,"1100 College St, Columbus, MS 39701",412 Zouave Drive,NA,Columbus,MS,39701,Lowndes,United States,1100 College Street,NA,Columbus,MS,Mississippi,39701
16954,53258,20TH CENTURY FOX,"10301 W Pico Blvd, Los Angeles, CA 90064",10301 W Pico Blvd Fab 100,NA,Los Angeles,CA,90064,Los Angeles,United States,1901 Avenue of the Stars Ste 120,NA,Los Angeles,CA,California,90067
17665,32766,COMPASS,"131 George St, Oswego, NY 13126",PO Box 180,NA,Fulton,NY,13069,Oswego,United States,23 Cannalview Mall,NA,Fulton,NY,New York,13069
18297,24467,COASTAL,"1000 St Albans Dr, Raleigh, NC 27609",IBM Bldg. 500 (CPL) # 15,1000 Saint Albans Dr,Raleigh,NC,27609,Wake,United States,IBM Bldg. 500 (CPL) # 15,1000 Saint Albans Dr,Raleigh,NC,North Carolina,27609
18409,34497,ALLIANCE NIAGARA,"5795 Lewiston Rd, Niagara University, NY 14109",Marian Hall,University Dr,Niagara University,NY,14109-9809,Niagara,United States,Marian Hall,University Dr,Niagara University,NY,New York,14109-9809
18708,35463,PARTNERS,"1375 East Buena Vista Drive, Lake Buena Vista, FL 32836",1375 E Buena Vista Dr # EP,NA,Lake Buena Vista,FL,32830-8402,Orange,United States,P. O. Box 10000,NA,Lake Buena Vista,FL,Florida,32830
19253,41119,ISSAQUENA COUNTY,"111 Cedar St, Mayersville, MS 39113",PO BOX 87,111 CEDAR STREET,MAYERSVILLE,MS,39113,Issaquena,United States,PO BOX 87,NA,MAYERSVILLE,MS,Mississippi,39113
19263,19382,NEW ENGLAND,"111 Colchester Ave, Burlington, VT 05401-1473",University of VT Medical Center-McClure 2 Connector,111 Colchester Ave,Burlington,VT,05401-1473,Chittenden,United States,NA,NA,NA,NA,NA,NA
19853,18920,JEFFERSON COUNTY,"1201 E 10th St, Jeffersonville, IN 47190","Federal Building ""A' Wing - Room 157",1201 E 10th St,Jeffersonville,IN,47190-4278,Clark,United States,"Federal Building ""A' Wing - Room 157",1201 East 10th Street,Jeffersonville,IN,Indiana,47130
20042,52874,FRANKLIN MINT,"826 E Baltimore Pike, Kennett Square, PA 19348",Marlborough Square Shopping Center,826 E Baltimore Pike,Kennett Square,PA,19348-1870,Chester,United States,Marlborough Square Shopping Center,826 E Baltimore Pike,Kennett Square,PA,Pennsylvania,19348-1870
20068,33966,XCEED FINANCIAL,"100 S Clinton Ave, Rochester, NY 14604",100 S Clinton Ave # XRX2-CONC,NA,Rochester,NY,14604-1801,Monroe,United States,100 S Clinton Ave # XRX2-CONC,NA,Rochester,NY,New York,14604
20186,23762,CHILDREN'S MEDICAL CENTER,"3333 Burnet Ave, Cincinnati, OH 45229",3333 Burnet Ave Mail Loc 5010,NA,Cincinnati,OH,45229-3026,Hamilton,United States,3333 Burnet Ave Mail Loc 5010,NA,Cincinnati,OH,Ohio,45229-3026
20861,23538,P & G MEHOOPANY EMPLOYEES,"5188 SR 87, Tunkhannock, PA 18657",PO Box 214,NA,Meshoppen,PA,18630,Wyoming,United States,PO Box 214,NA,Meshoppen,PA,Pennsylvania,18630
20951,41093,OPC,"33060 Shirttail Creek Rd, Durkee, OR 97905",PO Box 145,NA,Durkee,OR,97905,Baker,United States,PO Box 145,NA,Durkee,OR,Oregon,97905
